initial_random_seq_files,orientation_index,orientation_degrees,correct_answer_index,correct_answer_direction,arrow_color,practice_seq_files,learning_seq_files,percept_testing_seq_files,init_random_block.thisRepN,init_random_block.thisTrialN,init_random_block.thisN,init_random_block.thisIndex,init_random_trials.thisRepN,init_random_trials.thisTrialN,init_random_trials.thisN,init_random_trials.thisIndex,practice_blocks.thisRepN,practice_blocks.thisTrialN,practice_blocks.thisN,practice_blocks.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,learning_loop.thisRepN,learning_loop.thisTrialN,learning_loop.thisN,learning_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,percept_testing_trials.thisRepN,percept_testing_trials.thisTrialN,percept_testing_trials.thisN,percept_testing_trials.thisIndex,percept_testing_loop.thisRepN,percept_testing_loop.thisTrialN,percept_testing_loop.thisN,percept_testing_loop.thisIndex,thisRow.t,notes,welcomescreen.started,spaceship.started,welcometext.started,welcome_end.started,welcomescreen.stopped,welcome_end.keys,welcome_end.rt,welcome_end.duration,pre_section.started,fixation_init.started,pre_section.stopped,trial.started,arrowhead.started,key_resp.started,arrowhead.stopped,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,fixation_feedback.started,cross.started,feedback_text.started,cross.stopped,feedback_text.stopped,fixation_feedback.stopped,RSI.started,text_2.started,text_2.stopped,RSI.stopped,post_section.started,feedback_post_section.started,key_resp_4.started,feedback_post_section.stopped,post_section.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,pratice_instruction.started,spaceship_rotated.started,rotation_instruction.started,key_resp_2.started,pratice_instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,fixation_init.stopped,learning_instruction.started,spaceship_rotated01.started,rotation_instruction01.started,key_resp_02.started,learning_instruction.stopped,key_resp_02.keys,key_resp_02.rt,key_resp_02.duration,seqreport_instruction.started,seqreport_instruction_text.started,seqreport_instruction_key.started,seqreport_instruction.stopped,seqreport_instruction_key.keys,seqreport_instruction_key.rt,seqreport_instruction_key.duration,seqreport.started,seq_report_key.started,seqreport.stopped,seq_report_key.keys,seq_report_key.rt,seq_report_key.duration,seqarrow.started,arrow_report.started,seqarrow.stopped,arrow_report.stopped,key_resp.stopped,percept_testing_instruction.started,spaceship4.started,key_resp_5.started,percept_testing_instruction_text.started,percept_testing_instruction.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,cross_2.started,cross_2.stopped,fixation.stopped,thankyouscreen.started,text.started,key_resp_6.started,thankyouscreen.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,participant,learning_type,seqID,debug,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013371599998208694,0.02222859999164939,0.02222859999164939,0.02222859999164939,18.483990799999447,space,18.459826999998768,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub102,percept,1,0,2024-08-07_10h04.40.264,ASRT_percept,2023.2.3,143.29562749524547,2024-08-07 10h05.03.085331 +0800,
sequences/sub102_initial_random.csv,0,0,0,4,red,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.520655899992562,,,,,,,,,,18.505121700000018,18.50876789999893,19.489130599991768,19.517262199995457,19.520655899992562,19.520655899992562,19.725080599993817,20.25503949999984,4,1,0.7313001000002259,None,20.256162999998196,20.265260899992427,20.265260899992427,20.467861700002686,20.67653739999514,20.671339299995452,20.671373699995456,20.67653739999514,21.37942889999249,21.37190469999041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub102,percept,1,0,2024-08-07_10h04.40.264,ASRT_percept,2023.2.3,143.29562749524547,2024-08-07 10h05.03.085331 +0800,
sequences/sub102_initial_random.csv,1,90,1,3,red,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.37942889999249,,,,,,,,,,,,,21.372933799997554,21.37942889999249,21.37942889999249,21.579284499995993,21.840346600001794,3,1,0.453225699995528,None,21.84092019998934,21.846581399993738,21.846581399993738,22.051441599993268,22.259599199998775,22.25394640000013,22.253984399998444,22.259599199998775,,22.955031899997266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub102,percept,1,0,2024-08-07_10h04.40.264,ASRT_percept,2023.2.3,143.29562749524547,2024-08-07 10h05.03.085331 +0800,
sequences/sub102_initial_random.csv,2,180,2,2,red,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.96385059999011,,,,,,,,,,,,,22.956037899988587,22.96385059999011,22.96385059999011,23.16250439999567,23.455534299995634,2,1,0.48782629999914207,None,23.456189499993343,23.460901500002365,23.460901500002365,23.6693008000002,23.87749059998896,23.872273499990115,23.87230940000154,23.87749059998896,,24.57259019999765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub102,percept,1,0,2024-08-07_10h04.40.264,ASRT_percept,2023.2.3,143.29562749524547,2024-08-07 10h05.03.085331 +0800,
sequences/sub102_initial_random.csv,3,270,3,1,red,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.578960599988932,,,,,,,,,,,,,24.573222199993324,24.578960599988932,24.578960599988932,24.780640199998743,24.97820949999732,1,1,0.3963042000104906,None,24.979412299988326,24.986704199996893,24.986704199996893,25.19007139999303,25.398418400000082,25.392649000001256,25.392687300001853,25.398418400000082,,26.093361399995047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub102,percept,1,0,2024-08-07_10h04.40.264,ASRT_percept,2023.2.3,143.29562749524547,2024-08-07 10h05.03.085331 +0800,
sequences/sub102_initial_random.csv,1,90,1,3,red,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.100232400000095,,,,,,,,,,,,,26.09395989999757,26.100232400000095,26.100232400000095,26.30172479999601,26.478796299998066,3,1,0.37602650000189897,None,26.4793909,26.484986099996604,26.484986099996604,26.68993259999843,26.898480099989683,26.892874299999676,26.89291080000112,26.898480099989683,,27.593267199990805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub102,percept,1,0,2024-08-07_10h04.40.264,ASRT_percept,2023.2.3,143.29562749524547,2024-08-07 10h05.03.085331 +0800,
sequences/sub102_initial_random.csv,3,270,3,1,red,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.599928600000567,,,,,,,,,,,,,27.594278999997186,27.599928600000567,27.599928600000567,27.801111699998728,27.97759059999953,1,1,0.3752804000105243,None,27.97810419999587,27.98512359999586,27.98512359999586,28.190019899993786,28.398265299998457,28.392750699989847,28.39278429999831,28.398265299998457,,29.093553899991093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub102,percept,1,0,2024-08-07_10h04.40.264,ASRT_percept,2023.2.3,143.29562749524547,2024-08-07 10h05.03.085331 +0800,
sequences/sub102_initial_random.csv,0,0,0,4,red,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.102309199995943,,,,,,,,,,,,,29.094269900000654,29.102309199995943,29.102309199995943,29.301285599998664,29.531697400001576,4,1,0.4224268999969354,None,29.53238199999032,29.5375178999966,29.5375178999966,29.745445499997004,29.95386769999459,29.947988799991435,29.948021999996854,29.95386769999459,,30.648495899993577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub102,percept,1,0,2024-08-07_10h04.40.264,ASRT_percept,2023.2.3,143.29562749524547,2024-08-07 10h05.03.085331 +0800,
sequences/sub102_initial_random.csv,2,180,2,2,red,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.655254899989814,,,,,,,,,,,,,30.649394599997322,30.655254899989814,30.655254899989814,30.856959700002335,31.094775599995046,2,1,0.43372180000005756,None,31.09539099999529,31.100264299995615,31.100264299995615,31.307997600000817,31.515816499988432,31.509604399994714,31.509624500002246,31.515816499988432,,32.21111489999748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub102,percept,1,0,2024-08-07_10h04.40.264,ASRT_percept,2023.2.3,143.29562749524547,2024-08-07 10h05.03.085331 +0800,
sequences/sub102_initial_random.csv,3,270,3,1,red,,,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.21769809999387,,,,,,,,,,,,,32.211667199997464,32.21769809999387,32.21769809999387,32.41919039998902,32.55297889999929,1,1,0.328307700008736,None,32.5535763999942,32.56046379999316,32.56046379999316,32.76658809999935,32.97502810000151,32.968979500001296,32.96902129999944,32.97502810000151,,33.66959289999795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub102,percept,1,0,2024-08-07_10h04.40.264,ASRT_percept,2023.2.3,143.29562749524547,2024-08-07 10h05.03.085331 +0800,
