block_type,unitx,trial_type,frequency_category,rt,n,correctn,acc,sid,tasktype
random,R,random,high,383.439585184937,46,44,0.956521739130435,001,motor
random,R,random,low,422.865383333071,15,13,0.866666666666667,001,motor
practice,P,random,high,529.210124999837,232,225,0.969827586206897,001,motor
practice,P,random,low,538.225763636795,53,52,0.981132075471698,001,motor
learning,1,random,high,524.955959722017,120,117,0.975,001,motor
learning,1,random,low,524.773049998476,18,18,1,001,motor
learning,1,regular,high,499.677947220941,197,196,0.99492385786802,001,motor
learning,2,random,high,470.782447142743,113,104,0.920353982300885,001,motor
learning,2,random,low,470.946245455046,33,29,0.878787878787879,001,motor
learning,2,regular,high,354.068707894552,199,189,0.949748743718593,001,motor
learning,3,random,high,439.331398528713,116,111,0.956896551724138,001,motor
learning,3,random,low,469.876137500857,33,31,0.939393939393939,001,motor
learning,3,regular,high,418.284042105561,198,190,0.95959595959596,001,motor
learning,4,random,high,472.308601388856,123,117,0.951219512195122,001,motor
learning,4,random,low,484.133072727259,30,26,0.866666666666667,001,motor
learning,4,regular,high,430.709583334141,198,192,0.96969696969697,001,motor
testing,T,random,high,388.930188571041,126,119,0.944444444444444,001,motor
testing,T,random,low,404.500786364885,28,27,0.964285714285714,001,motor
testing,T,regular,high,360.096577777868,199,191,0.959798994974874,001,motor
random,R,random,high,399.913880554474,37,36,0.972972972972973,002,motor
random,R,random,low,419.88647083114,18,18,1,002,motor
practice,P,random,high,605.104826002207,160,139,0.86875,002,motor
practice,P,random,low,590.407393479836,118,103,0.872881355932204,002,motor
learning,1,random,high,581.260789583818,83,74,0.891566265060241,002,motor
learning,1,random,low,600.008557143502,60,54,0.9,002,motor
learning,1,regular,high,589.711227777217,196,184,0.938775510204082,002,motor
learning,2,random,high,621.508757999982,101,96,0.95049504950495,002,motor
learning,2,random,low,626.350982606907,58,55,0.948275862068965,002,motor
learning,2,regular,high,579.760560526522,196,183,0.933673469387755,002,motor
learning,3,random,high,638.342233332575,98,94,0.959183673469388,002,motor
learning,3,random,low,628.23683749848,58,52,0.896551724137931,002,motor
learning,3,regular,high,592.361141665606,195,186,0.953846153846154,002,motor
learning,4,random,high,640.1204099998,74,72,0.972972972972973,002,motor
learning,4,random,low,641.53146363771,70,63,0.9,002,motor
learning,4,regular,high,582.735086841766,193,189,0.979274611398964,002,motor
testing,T,random,high,414.794741668326,19,18,0.947368421052632,002,motor
testing,T,random,low,444.922922225184,10,10,1,002,motor
testing,T,regular,high,399.044269999043,40,39,0.975,002,motor
random,R,random,high,383.439585184937,46,44,0.956521739130435,sub101,motor
random,R,random,low,422.865383333071,15,13,0.866666666666667,sub101,motor
practice,P,random,high,529.210124999837,232,225,0.969827586206897,sub101,motor
practice,P,random,low,538.225763636795,53,52,0.981132075471698,sub101,motor
learning,1,random,high,524.955959722017,120,117,0.975,sub101,motor
learning,1,random,low,524.773049998476,18,18,1,sub101,motor
learning,1,regular,high,499.677947220941,197,196,0.99492385786802,sub101,motor
learning,2,random,high,470.782447142743,113,104,0.920353982300885,sub101,motor
learning,2,random,low,470.946245455046,33,29,0.878787878787879,sub101,motor
learning,2,regular,high,354.068707894552,199,189,0.949748743718593,sub101,motor
learning,3,random,high,439.331398528713,116,111,0.956896551724138,sub101,motor
learning,3,random,low,469.876137500857,33,31,0.939393939393939,sub101,motor
learning,3,regular,high,418.284042105561,198,190,0.95959595959596,sub101,motor
learning,4,random,high,472.308601388856,123,117,0.951219512195122,sub101,motor
learning,4,random,low,484.133072727259,30,26,0.866666666666667,sub101,motor
learning,4,regular,high,430.709583334141,198,192,0.96969696969697,sub101,motor
testing,T,random,high,388.930188571041,126,119,0.944444444444444,sub101,motor
testing,T,random,low,404.500786364885,28,27,0.964285714285714,sub101,motor
testing,T,regular,high,360.096577777868,199,191,0.959798994974874,sub101,motor
random,R,random,high,393.052251666666,47,42,0.893617021276596,sub104,motor
random,R,random,low,381.2025416667,7,6,0.857142857142857,sub104,motor
practice,P,random,high,508.432985526325,272,267,0.981617647058824,sub104,motor
practice,P,random,low,488.29873000002,38,36,0.947368421052632,sub104,motor
learning,1,random,high,492.02460135133,114,111,0.973684210526316,sub104,motor
learning,1,random,low,488.750999999945,32,30,0.9375,sub104,motor
learning,1,regular,high,464.087220588206,198,195,0.984848484848485,sub104,motor
learning,2,random,high,490.478255263174,127,120,0.944881889763779,sub104,motor
learning,2,random,low,491.559050000046,26,25,0.961538461538461,sub104,motor
learning,2,regular,high,471.284788888953,196,185,0.943877551020408,sub104,motor
learning,3,random,high,500.917111842096,115,109,0.947826086956522,sub104,motor
learning,3,random,low,500.417094444351,26,25,0.961538461538461,sub104,motor
learning,3,regular,high,472.103411111044,191,184,0.963350785340314,sub104,motor
learning,4,random,high,486.234875675662,134,130,0.970149253731343,sub104,motor
learning,4,random,low,478.337777777799,20,20,1,sub104,motor
learning,4,regular,high,462.879865000014,200,198,0.99,sub104,motor
testing,T,random,high,392.147293421096,120,113,0.941666666666667,sub104,motor
testing,T,random,low,391.576216666635,20,18,0.9,sub104,motor
testing,T,regular,high,372.072786111226,198,189,0.954545454545455,sub104,motor
random,R,random,high,400.378435417376,41,38,0.926829268292683,sub105,motor
random,R,random,low,391.697270001168,14,12,0.857142857142857,sub105,motor
practice,P,random,high,589.140621051755,256,247,0.96484375,sub105,motor
practice,P,random,low,615.109780000057,49,47,0.959183673469388,sub105,motor
learning,1,random,high,575.427882432229,128,121,0.9453125,sub105,motor
learning,1,random,low,607.518362499832,19,19,1,sub105,motor
learning,1,regular,high,561.930362500061,198,194,0.97979797979798,sub105,motor
learning,2,random,high,572.082813513663,129,124,0.961240310077519,sub105,motor
learning,2,random,low,633.40772999909,24,24,1,sub105,motor
learning,2,regular,high,553.842594444682,196,194,0.989795918367347,sub105,motor
learning,3,random,high,536.015156579245,127,122,0.960629921259842,sub105,motor
learning,3,random,low,569.564187498145,22,21,0.954545454545455,sub105,motor
learning,3,regular,high,529.029660526392,200,195,0.975,sub105,motor
learning,4,random,high,558.264544285755,128,125,0.9765625,sub105,motor
learning,4,random,low,616.886258333883,14,13,0.928571428571429,sub105,motor
learning,4,regular,high,518.967458332352,199,194,0.974874371859297,sub105,motor
testing,T,random,high,419.083318421384,128,120,0.9375,sub105,motor
testing,T,random,low,437.822238888556,26,25,0.961538461538461,sub105,motor
testing,T,regular,high,400.565269444996,200,195,0.975,sub105,motor
random,R,random,high,399.913880554474,37,36,0.972972972972973,sub128,motor
random,R,random,low,419.88647083114,18,18,1,sub128,motor
practice,P,random,high,605.104826002207,160,139,0.86875,sub128,motor
practice,P,random,low,590.407393479836,118,103,0.872881355932204,sub128,motor
learning,1,random,high,581.260789583818,83,74,0.891566265060241,sub128,motor
learning,1,random,low,600.008557143502,60,54,0.9,sub128,motor
learning,1,regular,high,589.711227777217,196,184,0.938775510204082,sub128,motor
learning,2,random,high,621.508757999982,101,96,0.95049504950495,sub128,motor
learning,2,random,low,626.350982606907,58,55,0.948275862068965,sub128,motor
learning,2,regular,high,579.760560526522,196,183,0.933673469387755,sub128,motor
learning,3,random,high,638.342233332575,98,94,0.959183673469388,sub128,motor
learning,3,random,low,628.23683749848,58,52,0.896551724137931,sub128,motor
learning,3,regular,high,592.361141665606,195,186,0.953846153846154,sub128,motor
learning,4,random,high,640.1204099998,74,72,0.972972972972973,sub128,motor
learning,4,random,low,641.53146363771,70,63,0.9,sub128,motor
learning,4,regular,high,582.735086841766,193,189,0.979274611398964,sub128,motor
