trials.thisRepN,seq_report_key.keys,blockID,sid,tasktype
0,3,L01,001,motor
1,3,L01,001,motor
2,4,L01,001,motor
3,2,L01,001,motor
4,3,L01,001,motor
5,3,L01,001,motor
6,1,L01,001,motor
7,4,L01,001,motor
8,3,L01,001,motor
9,2,L01,001,motor
10,3,L01,001,motor
11,3,L01,001,motor
0,4,L02,001,motor
1,3,L02,001,motor
2,2,L02,001,motor
3,1,L02,001,motor
4,4,L02,001,motor
5,3,L02,001,motor
6,2,L02,001,motor
7,1,L02,001,motor
8,4,L02,001,motor
9,3,L02,001,motor
10,2,L02,001,motor
11,1,L02,001,motor
0,4,L03,001,motor
1,3,L03,001,motor
2,2,L03,001,motor
3,1,L03,001,motor
4,4,L03,001,motor
5,3,L03,001,motor
6,2,L03,001,motor
7,1,L03,001,motor
8,4,L03,001,motor
9,3,L03,001,motor
10,2,L03,001,motor
11,1,L03,001,motor
0,4,L04,001,motor
1,3,L04,001,motor
2,2,L04,001,motor
3,1,L04,001,motor
4,4,L04,001,motor
5,3,L04,001,motor
6,2,L04,001,motor
7,1,L04,001,motor
8,4,L04,001,motor
9,3,L04,001,motor
10,2,L04,001,motor
11,1,L04,001,motor
0,4,L05,001,motor
1,3,L05,001,motor
2,2,L05,001,motor
3,1,L05,001,motor
4,4,L05,001,motor
5,3,L05,001,motor
6,2,L05,001,motor
7,1,L05,001,motor
8,4,L05,001,motor
9,3,L05,001,motor
10,2,L05,001,motor
11,1,L05,001,motor
0,4,L06,001,motor
1,3,L06,001,motor
2,2,L06,001,motor
3,1,L06,001,motor
4,4,L06,001,motor
5,3,L06,001,motor
6,2,L06,001,motor
7,1,L06,001,motor
8,4,L06,001,motor
9,3,L06,001,motor
10,2,L06,001,motor
11,1,L06,001,motor
0,4,L07,001,motor
1,3,L07,001,motor
2,2,L07,001,motor
3,1,L07,001,motor
4,4,L07,001,motor
5,3,L07,001,motor
6,2,L07,001,motor
7,1,L07,001,motor
8,4,L07,001,motor
9,3,L07,001,motor
10,2,L07,001,motor
11,1,L07,001,motor
0,4,L08,001,motor
1,3,L08,001,motor
2,2,L08,001,motor
3,1,L08,001,motor
4,4,L08,001,motor
5,3,L08,001,motor
6,2,L08,001,motor
7,1,L08,001,motor
8,4,L08,001,motor
