block_type,unitx,sequence_learning,sid,tasktype
learning,1,25.2780125010758,sub101,motor
learning,2,116.71373924819,sub101,motor
learning,3,21.0473564231518,sub101,motor
learning,4,41.5990180547144,sub101,motor
testing,T,28.8336107931721,sub101,motor
learning,1,27.9373807631242,sub104,motor
learning,2,19.193466374221,sub104,motor
learning,3,28.8137007310522,sub104,motor
learning,4,23.3550106756485,sub104,motor
testing,T,20.0745073098697,sub104,motor
learning,1,13.4975199321677,sub105,motor
learning,2,18.2402190689805,sub105,motor
learning,3,6.98549605285257,sub105,motor
learning,4,39.2970859534029,sub105,motor
testing,T,18.5180489763872,sub105,motor
learning,1,-8.4504381933989,sub128,motor
learning,2,41.74819747346,sub128,motor
learning,3,45.9810916669691,sub128,motor
learning,4,57.3853231580333,sub128,motor
testing,T,15.7504716692832,sub128,motor
learning,1,45.5091317769461,sub101,percept
learning,2,11.7260267577872,sub101,percept
learning,3,30.0833826887612,sub101,percept
learning,4,76.1892776338898,sub101,percept
testing,T,37.8144482355702,sub101,percept
learning,1,50.4185951385807,sub102,percept
learning,2,68.9958638085955,sub102,percept
learning,3,172.601912136173,sub102,percept
learning,4,296.938830484557,sub102,percept
testing,T,226.181413809744,sub102,percept
learning,1,26.7260039036266,sub103-2,percept
learning,2,5.52039342133674,sub103-2,percept
learning,3,35.5319199729236,sub103-2,percept
learning,4,30.3425201081633,sub103-2,percept
testing,T,18.3625722974149,sub103-2,percept
learning,1,71.851363092752,sub107,percept
learning,2,45.1407211289209,sub107,percept
learning,3,31.7040311560481,sub107,percept
learning,4,45.550658978986,sub107,percept
testing,T,8.09072499557965,sub107,percept
learning,1,23.5033826817385,sub128,percept
learning,2,17.1549903495323,sub128,percept
learning,3,16.6198632334058,sub128,percept
learning,4,28.7700003471198,sub128,percept
testing,T,18.3804207337637,sub128,percept
