learning_seq_files,init_random_block.thisRepN,init_random_block.thisTrialN,init_random_block.thisN,init_random_block.thisIndex,practice_blocks.thisRepN,practice_blocks.thisTrialN,practice_blocks.thisN,practice_blocks.thisIndex,learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,learning_loop.thisRepN,learning_loop.thisTrialN,learning_loop.thisN,learning_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,preparing_screen.started,text_4.started,text_4.stopped,preparing_screen.stopped,welcomescreen.started,spaceship.started,welcometext.started,welcome_end.started,welcomescreen.stopped,welcome_end.keys,welcome_end.rt,welcome_end.duration,pratice_instruction.started,spaceship_rotated.started,rotation_instruction.started,key_resp_2.started,pratice_instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,learning_instruction.started,spaceship_rotated01.started,rotation_instruction01.started,key_resp_02.started,learning_instruction.stopped,key_resp_02.keys,key_resp_02.rt,key_resp_02.duration,pre_section.started,pre_section.stopped,seqreport_instruction.started,seqreport_instruction_text.started,seqreport_instruction.stopped,seqreport.started,seq_report_key.started,seqreport.stopped,seq_report_key.keys,seq_report_key.rt,seq_report_key.duration,seqarrow.started,arrow_report.started,seqarrow.stopped,arrow_report.stopped,section_pause.started,section_pause_text.started,section_pause.stopped,participant,session,learning_type,seqID,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,0.004311299882829189,0.01028959988616407,1.0488942000083625,0.9940760999452323,0.9940923000685871,1.0488942000083625,1.0488942000083625,1.0488942000083625,8.818690699990839,space,7.762932300101966,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,637201,001,percept,1,2024-07-22_19h56.19.451,ASRT_percept,2023.2.3,59.61532611856824,2024-07-22 19h56.39.077250 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.823787099914625,8.833439399953932,8.833439399953932,8.833439399953932,11.137259099865332,space,2.2983811998274177,None,,,,,,,,,,,,,,,,,,,,,,,,,,,637201,001,percept,1,2024-07-22_19h56.19.451,ASRT_percept,2023.2.3,59.61532611856824,2024-07-22 19h56.39.077250 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.142428299877793,11.15199699997902,11.15199699997902,11.15199699997902,16.12337279994972,space,4.962512100115418,None,,,,,,,,,,,,,,,,,,,637201,001,percept,1,2024-07-22_19h56.19.451,ASRT_percept,2023.2.3,59.61532611856824,2024-07-22 19h56.39.077250 +0800,
sequences/637201_learning_sequence_00.csv,,,,,,,,,0,0,0,0,,,,,0,0,0,0,17.1562081000302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.128877399954945,16.12911229999736,16.135654999874532,16.153920199954882,17.13964130007662,17.140586799941957,17.1562081000302,19.308331300038844,4,2.1429834999144077,None,19.308727799914777,19.324735099915415,20.308973100036383,,,,,637201,001,percept,1,2024-07-22_19h56.19.451,ASRT_percept,2023.2.3,59.61532611856824,2024-07-22 19h56.39.077250 +0800,
sequences/637201_learning_sequence_00.csv,,,,,,,,,0,0,0,0,,,,,1,0,1,0,20.325476200086996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.309241599868983,20.325476200086996,20.896542199887335,3,0.5659094001166523,None,20.896820799913257,20.909259099978954,21.893887599930167,21.909994899993762,,,,637201,001,percept,1,2024-07-22_19h56.19.451,ASRT_percept,2023.2.3,59.61532611856824,2024-07-22 19h56.39.077250 +0800,
sequences/637201_learning_sequence_00.csv,,,,,,,,,0,0,0,0,,,,,2,0,2,0,21.909994899993762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.89415519987233,21.909994899993762,22.461129399947822,2,0.5412379000335932,None,22.461509400047362,22.477344299899414,23.46180699998513,23.478002300020307,,,,637201,001,percept,1,2024-07-22_19h56.19.451,ASRT_percept,2023.2.3,59.61532611856824,2024-07-22 19h56.39.077250 +0800,
sequences/637201_learning_sequence_00.csv,,,,,,,,,0,0,0,0,,,,,3,0,3,0,23.478002300020307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.462078799959272,23.478002300020307,23.815224400023,1,0.333528800169006,None,23.815497600007802,23.828731100074947,24.81297259987332,24.82916309987195,,,,637201,001,percept,1,2024-07-22_19h56.19.451,ASRT_percept,2023.2.3,59.61532611856824,2024-07-22 19h56.39.077250 +0800,
sequences/637201_learning_sequence_00.csv,,,,,,,,,0,0,0,0,,,,,4,0,4,0,24.82916309987195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.813234200002626,24.82916309987195,25.080181200057268,2,0.2374538998119533,None,25.080466599902138,25.09598179999739,26.080557100009173,26.096802399959415,,,,637201,001,percept,1,2024-07-22_19h56.19.451,ASRT_percept,2023.2.3,59.61532611856824,2024-07-22 19h56.39.077250 +0800,
sequences/637201_learning_sequence_00.csv,,,,,,,,,0,0,0,0,,,,,5,0,5,0,26.096802399959415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.08080690004863,26.096802399959415,26.347614499973133,3,0.23406659997999668,None,26.347876699874178,26.364212699932978,27.34837340004742,27.364654399920255,,,,637201,001,percept,1,2024-07-22_19h56.19.451,ASRT_percept,2023.2.3,59.61532611856824,2024-07-22 19h56.39.077250 +0800,
sequences/637201_learning_sequence_00.csv,,,,,,,,,0,0,0,0,,,,,6,0,6,0,27.364654399920255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.348655399866402,27.364654399920255,27.56556349992752,4,0.19068140001036227,None,27.565942300017923,27.581509199924767,28.565930499928072,28.58221419993788,,,,637201,001,percept,1,2024-07-22_19h56.19.451,ASRT_percept,2023.2.3,59.61532611856824,2024-07-22 19h56.39.077250 +0800,
