orientation_degrees,orientation_index,correct_answer_index,correct_answer_direction,arrow_color
270,3,0,4,red
0,0,1,3,red
270,3,0,4,red
270,3,0,4,red
270,3,0,4,red
0,0,1,3,white
270,3,0,4,red
90,1,2,2,white
180,2,3,1,red
180,2,3,1,white
180,2,3,1,red
270,3,0,4,white
180,2,3,1,red
0,0,1,3,white
180,2,3,1,red
90,1,2,2,white
270,3,0,4,red
180,2,3,1,white
180,2,3,1,red
270,3,0,4,white
180,2,3,1,red
0,0,1,3,white
0,0,1,3,red
90,1,2,2,white
90,1,2,2,red
180,2,3,1,white
270,3,0,4,red
270,3,0,4,white
0,0,1,3,red
0,0,1,3,white
270,3,0,4,red
90,1,2,2,white
180,2,3,1,red
180,2,3,1,white
0,0,1,3,red
270,3,0,4,white
180,2,3,1,red
0,0,1,3,white
0,0,1,3,red
90,1,2,2,white
180,2,3,1,red
180,2,3,1,white
270,3,0,4,red
270,3,0,4,white
90,1,2,2,red
0,0,1,3,white
180,2,3,1,red
90,1,2,2,white
270,3,0,4,red
180,2,3,1,white
0,0,1,3,red
270,3,0,4,white
0,0,1,3,red
0,0,1,3,white
270,3,0,4,red
90,1,2,2,white
90,1,2,2,red
180,2,3,1,white
180,2,3,1,red
270,3,0,4,white
90,1,2,2,red
0,0,1,3,white
270,3,0,4,red
90,1,2,2,white
90,1,2,2,red
180,2,3,1,white
270,3,0,4,red
270,3,0,4,white
0,0,1,3,red
0,0,1,3,white
90,1,2,2,red
90,1,2,2,white
270,3,0,4,red
180,2,3,1,white
270,3,0,4,red
270,3,0,4,white
270,3,0,4,red
0,0,1,3,white
90,1,2,2,red
90,1,2,2,white
270,3,0,4,red
180,2,3,1,white
90,1,2,2,red
270,3,0,4,white
180,2,3,1,red
