orientation_index,orientation_degrees,correct_answer_index,correct_answer_direction,arrow_color
0,0,0,4,red
1,90,1,3,red
2,180,2,2,red
3,270,3,1,red
0,0,0,4,red
1,90,1,3,red
1,90,1,3,red
3,270,3,1,red
0,0,0,4,red
2,180,2,2,red
2,180,2,2,red
2,180,2,2,red
3,270,3,1,red
2,180,2,2,red
3,270,3,1,red
1,90,1,3,red
0,0,0,4,red
0,0,0,4,red
1,90,1,3,red
0,0,0,4,red
3,270,3,1,red
1,90,1,3,red
3,270,3,1,red
0,0,0,4,red
3,270,3,1,red
2,180,2,2,red
2,180,2,2,red
0,0,0,4,red
0,0,0,4,red
3,270,3,1,red
0,0,0,4,red
0,0,0,4,red
2,180,2,2,red
0,0,0,4,red
3,270,3,1,red
3,270,3,1,red
2,180,2,2,red
0,0,0,4,red
2,180,2,2,red
0,0,0,4,red
3,270,3,1,red
1,90,1,3,red
3,270,3,1,red
2,180,2,2,red
2,180,2,2,red
1,90,1,3,red
0,0,0,4,red
2,180,2,2,red
1,90,1,3,red
0,0,0,4,red
1,90,1,3,red
1,90,1,3,red
0,0,0,4,red
1,90,1,3,red
2,180,2,2,red
2,180,2,2,red
2,180,2,2,red
0,0,0,4,red
0,0,0,4,red
0,0,0,4,red
1,90,1,3,red
0,0,0,4,red
2,180,2,2,red
3,270,3,1,red
0,0,0,4,red
3,270,3,1,red
0,0,0,4,red
1,90,1,3,red
0,0,0,4,red
3,270,3,1,red
2,180,2,2,red
0,0,0,4,red
0,0,0,4,red
1,90,1,3,red
2,180,2,2,red
0,0,0,4,red
2,180,2,2,red
1,90,1,3,red
0,0,0,4,red
1,90,1,3,red
1,90,1,3,red
2,180,2,2,red
1,90,1,3,red
1,90,1,3,red
0,0,0,4,red
