learning_seq_files,init_random_block.thisRepN,init_random_block.thisTrialN,init_random_block.thisN,init_random_block.thisIndex,practice_blocks.thisRepN,practice_blocks.thisTrialN,practice_blocks.thisN,practice_blocks.thisIndex,learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,learning_loop.thisRepN,learning_loop.thisTrialN,learning_loop.thisN,learning_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,welcomescreen.started,spaceship.started,welcometext.started,welcome_end.started,welcomescreen.stopped,welcome_end.keys,welcome_end.rt,welcome_end.duration,pratice_instruction.started,spaceship_rotated.started,rotation_instruction.started,key_resp_2.started,pratice_instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,learning_instruction.started,spaceship_rotated01.started,rotation_instruction01.started,key_resp_02.started,learning_instruction.stopped,key_resp_02.keys,key_resp_02.rt,key_resp_02.duration,pre_section.started,pre_section.stopped,seqreport.started,seq_report_key.started,text_2.started,text_2.stopped,seqreport.stopped,seq_report_key.keys,seq_report_key.rt,seq_report_key.duration,seqarrow.started,arrow_report.started,arrow_report.stopped,seqarrow.stopped,section_pause.started,text_3.started,text_3.stopped,section_pause.stopped,participant,session,learning_type,seqID,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,2.61485409992747,3.4054796998389065,3.4054796998389065,3.4054796998389065,143.8202102999203,space,140.40882049989887,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227880,001,percept,1,2024-07-22_19h42.46.178,ASRT_percept,2023.2.3,59.9598389151794,2024-07-22 19h44.57.686461 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.82748300000094,143.84573399997316,143.84573399997316,143.84573399997316,144.46888029994443,space,0.6092749000526965,None,,,,,,,,,,,,,,,,,,,,,,,,,,,227880,001,percept,1,2024-07-22_19h42.46.178,ASRT_percept,2023.2.3,59.9598389151794,2024-07-22 19h44.57.686461 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.4739115999546,144.50885290000588,144.50885290000588,144.50885290000588,145.43758110003546,space,0.9222832000814378,None,,,,,,,,,,,,,,,,,,,227880,001,percept,1,2024-07-22_19h42.46.178,ASRT_percept,2023.2.3,59.9598389151794,2024-07-22 19h44.57.686461 +0800,
sequences/227880_learning_sequence_00.csv,,,,,,,,,0,0,0,0,,,,,0,0,0,0,145.473259099992,,,,,,,,,,,,,,,,,,,,,,,,,,145.44324669986963,145.4435005998239,145.46895779995248,145.473259099992,145.473259099992,146.48657539999112,147.73292019986548,4,2.2449528998695314,None,147.73984269984066,147.74768759985454,148.75483289989643,148.73871789989062,,,,,227880,001,percept,1,2024-07-22_19h42.46.178,ASRT_percept,2023.2.3,59.9598389151794,2024-07-22 19h44.57.686461 +0800,
sequences/227880_learning_sequence_00.csv,,,,,,,,,0,0,0,0,,,,,1,0,1,0,148.75483289989643,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.7389970999211,148.75483289989643,148.75483289989643,,149.44948169984855,2,0.6849511999171227,None,149.44978139991872,149.46078990004025,,150.45629609981552,,,,,227880,001,percept,1,2024-07-22_19h42.46.178,ASRT_percept,2023.2.3,59.9598389151794,2024-07-22 19h44.57.686461 +0800,
sequences/227880_learning_sequence_00.csv,,,,,,,,,0,0,0,0,,,,,2,0,2,0,150.4729490999598,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.45657769986428,150.4729490999598,150.4729490999598,,151.05027289991267,1,0.5650665999855846,None,151.05055549996905,151.05673990002833,152.05749679985456,152.0415614999365,,,,,227880,001,percept,1,2024-07-22_19h42.46.178,ASRT_percept,2023.2.3,59.9598389151794,2024-07-22 19h44.57.686461 +0800,
sequences/227880_learning_sequence_00.csv,,,,,,,,,0,0,0,0,,,,,3,0,3,0,152.05749679985456,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.04185199993663,152.05749679985456,152.05749679985456,,152.42910629999824,2,0.35747520020231605,None,152.42939529987052,152.44142289995216,153.44205469987355,153.42636599997059,,,,,227880,001,percept,1,2024-07-22_19h42.46.178,ASRT_percept,2023.2.3,59.9598389151794,2024-07-22 19h44.57.686461 +0800,
sequences/227880_learning_sequence_00.csv,,,,,,,,,0,0,0,0,,,,,4,0,4,0,153.44205469987355,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.4266390998382,153.44205469987355,153.44205469987355,,153.86078180000186,3,0.4045428999233991,None,153.86318259988911,153.87599179986864,154.87647759984247,154.86034099990502,,,,,227880,001,percept,1,2024-07-22_19h42.46.178,ASRT_percept,2023.2.3,59.9598389151794,2024-07-22 19h44.57.686461 +0800,
sequences/227880_learning_sequence_00.csv,,,,,,,,,0,0,0,0,,,,,5,0,5,0,154.87647759984247,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.86059419997036,154.87647759984247,154.87647759984247,,155.2221839998383,4,0.33007839997299016,None,155.22249339986593,155.22720169997774,156.22755219996907,156.21152159990743,,,,,227880,001,percept,1,2024-07-22_19h42.46.178,ASRT_percept,2023.2.3,59.9598389151794,2024-07-22 19h44.57.686461 +0800,
sequences/227880_learning_sequence_00.csv,,,,,,,,,0,0,0,0,,,,,6,0,6,0,156.22755219996907,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.21177669987082,156.22755219996907,156.22755219996907,,156.56604199996218,3,0.32264659996144474,None,156.56638440000825,156.57794480002485,157.57890750002116,157.5626368999947,,,,,227880,001,percept,1,2024-07-22_19h42.46.178,ASRT_percept,2023.2.3,59.9598389151794,2024-07-22 19h44.57.686461 +0800,
