initial_random_seq_files,orientation_index,orientation_degrees,correct_answer_index,correct_answer_direction,arrow_color,init_random_block.thisRepN,init_random_block.thisTrialN,init_random_block.thisN,init_random_block.thisIndex,init_random_trials.thisRepN,init_random_trials.thisTrialN,init_random_trials.thisN,init_random_trials.thisIndex,thisRow.t,notes,welcomescreen.started,spaceship.started,welcometext.started,welcome_end.started,welcomescreen.stopped,welcome_end.keys,welcome_end.rt,welcome_end.duration,pre_section.started,pre_section.stopped,trial.started,arrowhead.started,key_resp.started,arrowhead.stopped,trial.stopped,key_resp.keys,key_resp.corr,fixation_feedback.started,cross.started,feedback_text.started,cross.stopped,feedback_text.stopped,fixation_feedback.stopped,RSI.started,text_2.started,text_2.stopped,RSI.stopped,key_resp.stopped,key_resp.rt,key_resp.duration,participant,session,learning_type,seqID,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.003323499999851265,0.04530839999983982,0.04530839999983982,0.04530839999983982,1.396121199999925,space,1.3406377999999677,None,,,,,,,,,,,,,,,,,,,,,,,475150,001,percept,1,2024-07-26_23h21.03.597,ASRT_percept,2023.2.3,60.066120785714155,2024-07-26 23h23.56.230517 +0800,
sequences/475150_initial_random.csv,0,0,0,4,red,0,0,0,0,0,0,0,0,1.4311345999999503,,,,,,,,,,1.408789299999853,1.4090649999998277,1.420214999999871,1.4311345999999503,1.4311345999999503,1.6425116999998863,2.409453499999927,None,0,2.409972299999936,2.4259402999998656,2.4259402999998656,2.9259272999997847,3.4258528999998816,3.409675899999911,3.4096943999998075,3.4258528999998816,4.125839599999836,4.109565399999838,,,,475150,001,percept,1,2024-07-26_23h21.03.597,ASRT_percept,2023.2.3,60.066120785714155,2024-07-26 23h23.56.230517 +0800,
sequences/475150_initial_random.csv,3,270,3,1,red,0,0,0,0,0,1,1,1,4.125839599999836,,,,,,,,,,,,4.1098506999999245,4.125839599999836,4.125839599999836,4.325936399999819,5.109333099999958,None,0,5.109582799999998,5.125787399999808,5.125787399999808,5.625833899999861,6.125697599999967,6.1099395999999615,6.109975099999929,6.125697599999967,6.825794799999812,6.809399099999837,5.125787399999808,,,475150,001,percept,1,2024-07-26_23h21.03.597,ASRT_percept,2023.2.3,60.066120785714155,2024-07-26 23h23.56.230517 +0800,
sequences/475150_initial_random.csv,2,180,2,2,red,0,0,0,0,0,2,2,2,6.825794799999812,,,,,,,,,,,,6.809750399999984,6.825794799999812,6.825794799999812,7.025617899999816,7.3597785999997996,2,1,7.36024939999993,7.3840576999998575,7.3840576999998575,7.875572099999999,8.375701299999946,8.359330499999942,8.359351199999992,8.375701299999946,9.075558999999885,9.059346099999857,,0.5264945999999782,None,475150,001,percept,1,2024-07-26_23h21.03.597,ASRT_percept,2023.2.3,60.066120785714155,2024-07-26 23h23.56.230517 +0800,
sequences/475150_initial_random.csv,0,0,0,4,red,0,0,0,0,0,3,3,3,9.075558999999885,,,,,,,,,,,,9.059619999999995,9.075558999999885,9.075558999999885,9.275665199999821,9.676284399999986,2,0,9.676593799999864,9.692160699999931,9.692160699999931,10.192220399999997,10.692143899999792,10.675947399999814,10.675964999999906,10.692143899999792,11.39219479999997,11.37587069999995,,0.5976537999999891,None,475150,001,percept,1,2024-07-26_23h21.03.597,ASRT_percept,2023.2.3,60.066120785714155,2024-07-26 23h23.56.230517 +0800,
sequences/475150_initial_random.csv,1,90,1,3,red,0,0,0,0,0,4,4,4,11.39219479999997,,,,,,,,,,,,11.376158199999963,11.39219479999997,11.39219479999997,11.592313199999808,11.809317399999827,1,0,11.809615199999826,11.825374899999815,11.825374899999815,12.325472499999933,12.825365999999804,12.80913559999999,12.809152399999903,12.825365999999804,13.525314399999843,13.509073499999886,,0.41588930000011715,None,475150,001,percept,1,2024-07-26_23h21.03.597,ASRT_percept,2023.2.3,60.066120785714155,2024-07-26 23h23.56.230517 +0800,
sequences/475150_initial_random.csv,0,0,0,4,red,0,0,0,0,0,5,5,5,13.525314399999843,,,,,,,,,,,,13.509351599999945,13.525314399999843,13.525314399999843,13.725351199999977,14.075976999999966,3,0,14.076247899999998,14.092066099999784,14.092066099999784,14.592004999999972,15.09195469999986,15.075727199999847,15.075742699999864,15.09195469999986,15.791970999999876,15.775970799999868,,0.5393728999999894,None,475150,001,percept,1,2024-07-26_23h21.03.597,ASRT_percept,2023.2.3,60.066120785714155,2024-07-26 23h23.56.230517 +0800,
sequences/475150_initial_random.csv,1,90,1,3,red,0,0,0,0,0,6,6,6,15.791970999999876,,,,,,,,,,,,15.776259199999913,15.791970999999876,15.791970999999876,15.991927499999974,16.57588499999997,3,1,16.57619479999994,16.5918729,16.5918729,17.09174269999994,17.59192269999994,17.57557829999996,17.575597199999947,17.59192269999994,18.291729699999905,18.275685799999792,,0.7748724000000493,None,475150,001,percept,1,2024-07-26_23h21.03.597,ASRT_percept,2023.2.3,60.066120785714155,2024-07-26 23h23.56.230517 +0800,
sequences/475150_initial_random.csv,1,90,1,3,red,0,0,0,0,0,7,7,7,18.291729699999905,,,,,,,,,,,,18.27597199999991,18.291729699999905,18.291729699999905,18.491782799999783,18.70910609999987,2,0,18.7093961999999,18.72509059999993,18.72509059999993,19.225112299999864,19.72509489999993,19.709094499999992,19.709116099999846,19.72509489999993,20.424929999999904,20.408915899999784,,0.4055668000000878,None,475150,001,percept,1,2024-07-26_23h21.03.597,ASRT_percept,2023.2.3,60.066120785714155,2024-07-26 23h23.56.230517 +0800,
sequences/475150_initial_random.csv,0,0,0,4,red,0,0,0,0,0,8,8,8,20.424929999999904,,,,,,,,,,,,20.40921319999984,20.424929999999904,20.424929999999904,20.62496619999979,21.275992799999813,3,0,21.276264499999797,21.291770799999995,21.291770799999995,21.791520199999923,22.291407899999967,22.27542789999984,22.275449599999774,22.291407899999967,22.991407699999854,22.975493099999994,,0.8499177999999574,None,475150,001,percept,1,2024-07-26_23h21.03.597,ASRT_percept,2023.2.3,60.066120785714155,2024-07-26 23h23.56.230517 +0800,
sequences/475150_initial_random.csv,3,270,3,1,red,0,0,0,0,0,9,9,9,22.991407699999854,,,,,,,,,,,,22.975741999999855,22.991407699999854,22.991407699999854,23.19190249999997,23.792137699999785,1,1,23.792386199999783,23.808163999999806,23.808163999999806,24.308016199999884,24.807980799999996,24.791881699999976,24.79189999999994,24.807980799999996,25.50797159999979,25.491800499999954,,0.7864190000000235,None,475150,001,percept,1,2024-07-26_23h21.03.597,ASRT_percept,2023.2.3,60.066120785714155,2024-07-26 23h23.56.230517 +0800,
sequences/475150_initial_random.csv,0,0,0,4,red,0,0,0,0,0,10,10,10,25.50797159999979,,,,,,,,,,,,25.49204409999993,25.50797159999979,25.50797159999979,25.707945299999892,25.85946039999999,4,1,25.85980309999991,25.874886499999775,25.874886499999775,26.374702099999922,26.87489329999994,26.858961999999792,26.858984099999816,26.87489329999994,27.574612399999978,27.558265599999913,,0.33455350000008366,None,475150,001,percept,1,2024-07-26_23h21.03.597,ASRT_percept,2023.2.3,60.066120785714155,2024-07-26 23h23.56.230517 +0800,
sequences/475150_initial_random.csv,0,0,0,4,red,0,0,0,0,0,11,11,11,27.574612399999978,,,,,,,,,,,,27.558500399999957,27.574612399999978,27.574612399999978,27.774559399999816,27.991989399999966,4,1,27.99228909999988,28.007940699999835,28.007940699999835,28.50785269999983,29.00778839999998,28.991816899999776,28.99183499999981,29.00778839999998,29.707973599999832,29.691489199999978,,0.40218370000002324,None,475150,001,percept,1,2024-07-26_23h21.03.597,ASRT_percept,2023.2.3,60.066120785714155,2024-07-26 23h23.56.230517 +0800,
sequences/475150_initial_random.csv,0,0,0,4,red,0,0,0,0,0,12,12,12,29.707973599999832,,,,,,,,,,,,29.691756999999825,29.707973599999832,29.707973599999832,29.907752099999925,30.158426299999974,4,1,30.15871039999979,30.17462179999984,30.17462179999984,30.674439099999972,31.174407999999858,31.157980699999825,31.157996299999922,31.174407999999858,31.874320099999977,31.857929599999807,,0.4491299000001163,None,475150,001,percept,1,2024-07-26_23h21.03.597,ASRT_percept,2023.2.3,60.066120785714155,2024-07-26 23h23.56.230517 +0800,
sequences/475150_initial_random.csv,3,270,3,1,red,0,0,0,0,0,13,13,13,31.874320099999977,,,,,,,,,,,,31.85816469999986,31.874320099999977,31.874320099999977,32.07434249999983,32.32509809999988,3,0,32.32541409999999,32.34116049999989,32.34116049999989,32.841106699999955,33.34105999999997,33.32478769999989,33.3248094999999,33.34105999999997,34.04099959999985,34.02468299999987,,0.4390097999998943,None,475150,001,percept,1,2024-07-26_23h21.03.597,ASRT_percept,2023.2.3,60.066120785714155,2024-07-26 23h23.56.230517 +0800,
sequences/475150_initial_random.csv,3,270,3,1,red,0,0,0,0,0,14,14,14,34.04099959999985,,,,,,,,,,,,34.024915899999996,34.04099959999985,34.04099959999985,34.24097149999989,34.37494439999978,2,0,34.375213599999825,34.39096089999998,34.39096089999998,34.891063599999825,35.390872299999955,35.374968999999965,35.374985899999956,35.390872299999955,36.090788299999986,36.0748686999998,,0.33151189999989583,None,475150,001,percept,1,2024-07-26_23h21.03.597,ASRT_percept,2023.2.3,60.066120785714155,2024-07-26 23h23.56.230517 +0800,
sequences/475150_initial_random.csv,1,90,1,3,red,0,0,0,0,0,15,15,15,36.090788299999986,,,,,,,,,,,,36.07514739999988,36.090788299999986,36.090788299999986,36.290953299999956,37.074724499999775,None,0,37.074958199999855,37.09094189999996,37.09094189999996,37.59094849999997,38.090750199999775,38.07435369999985,38.074370499999986,38.090750199999775,38.79074299999979,38.77458109999998,37.09094189999996,,,475150,001,percept,1,2024-07-26_23h21.03.597,ASRT_percept,2023.2.3,60.066120785714155,2024-07-26 23h23.56.230517 +0800,
sequences/475150_initial_random.csv,2,180,2,2,red,0,0,0,0,0,16,16,16,38.79074299999979,,,,,,,,,,,,38.77482599999985,38.79074299999979,38.79074299999979,38.990799499999866,39.52463969999985,2,1,39.524923599999966,39.540604999999914,39.540604999999914,40.040580599999885,40.540756199999805,40.52461949999997,40.52464359999999,40.540756199999805,41.24066549999998,41.224437199999784,,0.7173405000000912,None,475150,001,percept,1,2024-07-26_23h21.03.597,ASRT_percept,2023.2.3,60.066120785714155,2024-07-26 23h23.56.230517 +0800,
sequences/475150_initial_random.csv,0,0,0,4,red,0,0,0,0,0,17,17,17,41.24066549999998,,,,,,,,,,,,41.224678599999834,41.24066549999998,41.24066549999998,41.44059519999996,41.44125139999983,1,0,41.441499399999884,41.457230999999865,41.457230999999865,41.95703979999985,42.4571391999998,42.44103719999998,42.44105579999996,42.4571391999998,43.15693699999997,43.14102549999984,,0.192020599999978,None,475150,001,percept,1,2024-07-26_23h21.03.597,ASRT_percept,2023.2.3,60.066120785714155,2024-07-26 23h23.56.230517 +0800,
sequences/475150_initial_random.csv,1,90,1,3,red,0,0,0,0,0,18,18,18,43.15693699999997,,,,,,,,,,,,43.14130149999983,43.15693699999997,43.15693699999997,43.35716949999983,43.55787489999989,2,0,43.55824459999985,43.57375009999987,43.57375009999987,44.07383589999995,44.57377529999985,44.5575558999999,44.557574399999794,44.57377529999985,45.27369779999981,45.257478699999865,,0.38458409999998366,None,475150,001,percept,1,2024-07-26_23h21.03.597,ASRT_percept,2023.2.3,60.066120785714155,2024-07-26 23h23.56.230517 +0800,
sequences/475150_initial_random.csv,1,90,1,3,red,0,0,0,0,0,19,19,19,45.27369779999981,,,,,,,,,,,,45.25781049999978,45.27369779999981,45.27369779999981,45.473702499999945,45.62433809999993,3,1,45.62466969999991,45.64037199999984,45.64037199999984,46.14065749999986,46.640331899999865,46.62410369999998,46.62412109999991,46.640331899999865,47.34031209999989,47.32446459999983,,0.34271190000004026,None,475150,001,percept,1,2024-07-26_23h21.03.597,ASRT_percept,2023.2.3,60.066120785714155,2024-07-26 23h23.56.230517 +0800,
sequences/475150_initial_random.csv,0,0,0,4,red,0,0,0,0,0,20,20,20,47.34031209999989,,,,,,,,,,,,47.32472569999982,47.34031209999989,47.34031209999989,47.540314299999864,48.32414299999982,None,0,48.32436429999984,48.34026599999993,48.34026599999993,48.840194299999894,49.340219799999886,49.32399529999998,49.32401289999984,49.340219799999886,50.04016589999992,50.02413069999989,48.34026599999993,,,475150,001,percept,1,2024-07-26_23h21.03.597,ASRT_percept,2023.2.3,60.066120785714155,2024-07-26 23h23.56.230517 +0800,
sequences/475150_initial_random.csv,2,180,2,2,red,0,0,0,0,0,21,21,21,50.04016589999992,,,,,,,,,,,,50.02441449999992,50.04016589999992,50.04016589999992,50.24006939999981,50.590816099999984,4,0,50.591069299999845,50.60677679999981,50.60677679999981,51.106718999999885,51.60669239999993,51.590558499999815,51.59057319999988,51.60669239999993,52.3067102,52.29088539999998,,0.5358757999999852,None,475150,001,percept,1,2024-07-26_23h21.03.597,ASRT_percept,2023.2.3,60.066120785714155,2024-07-26 23h23.56.230517 +0800,
sequences/475150_initial_random.csv,1,90,1,3,red,0,0,0,0,0,22,22,22,52.3067102,,,,,,,,,,,,52.29126209999981,52.3067102,52.3067102,52.5067810999999,52.74086629999988,2,0,52.741191099999924,52.756730399999924,52.756730399999924,53.25660489999996,53.75659089999999,53.74043789999996,53.74045719999981,53.75659089999999,54.456605599999875,54.44034209999995,,0.42433009999990645,None,475150,001,percept,1,2024-07-26_23h21.03.597,ASRT_percept,2023.2.3,60.066120785714155,2024-07-26 23h23.56.230517 +0800,
sequences/475150_initial_random.csv,3,270,3,1,red,0,0,0,0,0,23,23,23,54.456605599999875,,,,,,,,,,,,54.440588499999876,54.456605599999875,54.456605599999875,,54.624118099999805,3,0,54.62437259999979,54.6400263999999,54.6400263999999,55.13994699999989,55.63980759999981,55.62371269999994,55.62372779999987,55.63980759999981,56.33986579999987,56.323988499999814,,0.16335979999985284,None,475150,001,percept,1,2024-07-26_23h21.03.597,ASRT_percept,2023.2.3,60.066120785714155,2024-07-26 23h23.56.230517 +0800,
sequences/475150_initial_random.csv,1,90,1,3,red,0,0,0,0,0,24,24,24,56.33986579999987,,,,,,,,,,,,56.32443839999996,56.33986579999987,56.33986579999987,56.53976089999992,57.0405530999999,3,1,57.04098079999994,57.056340699999964,57.056340699999964,57.55625329999998,58.056254199999785,58.04018629999996,58.04020069999979,58.056254199999785,58.75632509999991,58.74044639999988,,0.6919263999998293,None,475150,001,percept,1,2024-07-26_23h21.03.597,ASRT_percept,2023.2.3,60.066120785714155,2024-07-26 23h23.56.230517 +0800,
sequences/475150_initial_random.csv,1,90,1,3,red,0,0,0,0,0,25,25,25,58.75632509999991,,,,,,,,,,,,58.74081379999984,58.75632509999991,58.75632509999991,58.95628169999986,59.140450699999974,4,0,59.14081999999985,59.15624199999979,59.15624199999979,59.656435499999816,60.15630179999994,60.1401613999999,60.1401821999998,60.15630179999994,60.85599409999986,60.8397822999998,,0.37070010000002185,None,475150,001,percept,1,2024-07-26_23h21.03.597,ASRT_percept,2023.2.3,60.066120785714155,2024-07-26 23h23.56.230517 +0800,
sequences/475150_initial_random.csv,1,90,1,3,red,0,0,0,0,0,26,26,26,60.85599409999986,,,,,,,,,,,,60.84012289999987,60.85599409999986,60.85599409999986,61.055940599999985,61.273697099999936,3,1,61.27396739999995,61.28947909999988,61.28947909999988,61.789537899999914,62.289465099999916,62.27318879999984,62.27320699999996,62.289465099999916,62.98975879999989,62.973350999999866,,0.40071050000005926,None,475150,001,percept,1,2024-07-26_23h21.03.597,ASRT_percept,2023.2.3,60.066120785714155,2024-07-26 23h23.56.230517 +0800,
sequences/475150_initial_random.csv,2,180,2,2,red,0,0,0,0,0,27,27,27,62.98975879999989,,,,,,,,,,,,62.97369229999981,62.98975879999989,62.98975879999989,63.18957209999985,63.70675779999988,2,1,63.707059199999776,63.72296359999996,63.72296359999996,64.22280439999986,64.7227762,64.70661139999993,64.70663179999997,64.7227762,65.42267389999984,65.40673179999999,,0.7088914000000841,None,475150,001,percept,1,2024-07-26_23h21.03.597,ASRT_percept,2023.2.3,60.066120785714155,2024-07-26 23h23.56.230517 +0800,
sequences/475150_initial_random.csv,3,270,3,1,red,0,0,0,0,0,28,28,28,65.42267389999984,,,,,,,,,,,,65.40700329999981,65.42267389999984,65.42267389999984,65.62272619999999,65.97344729999986,1,1,65.97378289999983,65.98949649999986,65.98949649999986,66.48935669999992,66.98926419999998,66.97332579999988,66.97334389999992,66.98926419999998,67.68937459999984,67.6729393999999,,0.5378577000001314,None,475150,001,percept,1,2024-07-26_23h21.03.597,ASRT_percept,2023.2.3,60.066120785714155,2024-07-26 23h23.56.230517 +0800,
sequences/475150_initial_random.csv,0,0,0,4,red,0,0,0,0,0,29,29,29,67.68937459999984,,,,,,,,,,,,67.67317379999986,67.68937459999984,67.68937459999984,67.8892573999999,68.00650509999991,4,1,68.0068245,68.02249319999987,68.02249319999987,68.52258509999979,69.02267849999998,69.00626369999986,69.00628069999993,69.02267849999998,69.72269059999985,69.70627739999986,,0.3152900000000045,None,475150,001,percept,1,2024-07-26_23h21.03.597,ASRT_percept,2023.2.3,60.066120785714155,2024-07-26 23h23.56.230517 +0800,
sequences/475150_initial_random.csv,3,270,3,1,red,0,0,0,0,0,30,30,30,69.72269059999985,,,,,,,,,,,,69.70664909999982,69.72269059999985,69.72269059999985,69.92245389999994,70.28994519999992,2,0,70.29024789999994,70.30565629999978,70.30565629999978,70.80584329999988,71.30588249999983,71.28956019999987,71.28957859999991,71.30588249999983,72.00561849999985,71.98984489999998,,0.5576461000000563,None,475150,001,percept,1,2024-07-26_23h21.03.597,ASRT_percept,2023.2.3,60.066120785714155,2024-07-26 23h23.56.230517 +0800,
,,,,,,,,,,,,,,72.00561849999985,,,,,,,,,,,,71.99015209999993,72.00561849999985,72.00561849999985,72.20569099999989,72.98932609999997,None,0,72.98954619999995,73.00579489999996,73.00579489999996,,,,,,,,73.00579489999996,,,,,,,,,,,,
