orientation_degrees,orientation_index,correct_answer_index,correct_answer_direction,arrow_color
90,1,2,2,red
90,1,2,2,red
270,3,0,4,red
270,3,0,4,red
90,1,2,2,red
180,2,3,1,red
180,2,3,1,red
270,3,0,4,red
90,1,2,2,red
180,2,3,1,red
90,1,2,2,red
180,2,3,1,red
270,3,0,4,red
180,2,3,1,red
180,2,3,1,red
180,2,3,1,red
180,2,3,1,red
90,1,2,2,red
180,2,3,1,red
270,3,0,4,red
0,0,1,3,red
180,2,3,1,red
90,1,2,2,red
270,3,0,4,red
270,3,0,4,red
90,1,2,2,red
90,1,2,2,red
180,2,3,1,red
90,1,2,2,red
270,3,0,4,red
90,1,2,2,red
270,3,0,4,red
90,1,2,2,red
0,0,1,3,red
0,0,1,3,red
180,2,3,1,red
0,0,1,3,red
180,2,3,1,red
180,2,3,1,red
90,1,2,2,red
180,2,3,1,red
90,1,2,2,red
90,1,2,2,red
270,3,0,4,red
270,3,0,4,red
180,2,3,1,red
90,1,2,2,red
270,3,0,4,red
0,0,1,3,red
180,2,3,1,red
0,0,1,3,red
180,2,3,1,red
90,1,2,2,red
0,0,1,3,red
180,2,3,1,red
90,1,2,2,red
0,0,1,3,red
270,3,0,4,red
90,1,2,2,red
180,2,3,1,red
180,2,3,1,red
0,0,1,3,red
90,1,2,2,red
180,2,3,1,red
180,2,3,1,red
270,3,0,4,red
90,1,2,2,red
90,1,2,2,red
90,1,2,2,red
180,2,3,1,red
270,3,0,4,red
0,0,1,3,red
90,1,2,2,red
0,0,1,3,red
180,2,3,1,red
270,3,0,4,red
90,1,2,2,red
90,1,2,2,red
0,0,1,3,red
0,0,1,3,red
270,3,0,4,red
270,3,0,4,red
90,1,2,2,red
0,0,1,3,red
0,0,1,3,red
